"ID","producto_name","producto_especificaciones","producto_vendido_por","producto_precio_descuento","producto_precio_con_oferta","producto_precio_sin_oferta","producto_promocion_blackdays","producto_referencias","producto_descuento","producto_tiempo_llegada","producto_envios_gratis","created_at","id"
31,"LATTAFA","Perfume Khamrah Qahwa 100ML","Por Amber Oud",170100,189000,450000,"Black Days","(34)","-62%","Desconocido","Envío gratis","2025-05-21T00:38:24.287941",30
32,"LATTAFA","Perfume Yara 100ML + Body Spray 200ML","Por Amber Oud",200700,223000,450000,"Black Days","(16)","-55%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",31
33,"CHANEL","BLEU DE Eau de Parfum","Por Falabella",179990,712000,420000,"Sin promocion","(10)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",32
34,"LATTAFA","Perfume Fakhar Black 100ml","Por Amber Oud",170100,189000,360000,"Black Days","(18)","-53%","Desconocido","Envío gratis","2025-05-21T00:38:24.287941",33
35,"LATTAFA","Perfume Badee Al Oud Noble Blush 100ml","Por Amber Oud",179100,199000,420000,"Black Days","(0)","-57%","Desconocido","Envío gratis","2025-05-21T00:38:24.287941",35
36,"LATTAFA","Perfume Al Qiam Gold 100ml","Por Amber Oud",170100,189000,450000,"Black Days","(50)","-62%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",36
37,"HUGO BOSS","Perfume Hombre Hugo Iced 75 ml EDT","Por Falabella",199990,219990,533900,"Sin promocion","(162)","-63%","Llega mañana","No","2025-05-21T00:38:24.287941",37
38,"MOSCHINO","Perfume Gold Fresh Couture Mujer 100 ml EDP","Por Falabella",219900,239900,479900,"Black Days","(134)","-54%","Llega mañana","No","2025-05-21T00:38:24.287941",38
39,"DIOR","Perfume Hombre Dior Sauvage Parfum","Por Falabella",179990,853000,420000,"Sin promocion","(24)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",39
40,"CAROLINA HERRERA","Perfume 212 Vip Black Hombre 200 ml EDP","Por Falabella",659990,699990,1038000,"Black Days","(402)","-36%","Llega mañana","No","2025-05-21T00:38:24.287941",40
41,"RABANNE","Perfume Hombre 1 Million 200ml EDT","Por Falabella",629990,659900,1060000,"Black Days","(1585)","-41%","Llega mañana","No","2025-05-21T00:38:24.287941",41
42,"LATTAFA","Perfume Shaheen Gold 100ml","Por Amber Oud",170100,189000,450000,"Black Days","(62)","-62%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",42
43,"FERRAGAMO","Perfume de Hombre F by 100 ml EDT","Por Falabella",179990,239990,469900,"Black Days","(0)","-49%","Llega mañana","No","2025-05-21T00:38:24.287941",43
44,"LATTAFA","Perfume Asad Bourbon 100ML","Por Amber Oud",188100,209000,420000,"Black Days","(0)","-55%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",44
45,"HUGO BOSS","Perfume The Scent Private Accord For Her Mujer 100 ml EDP","Por Falabella",179990,259990,677900,"Black Days","(5)","-62%","Llega mañana","No","2025-05-21T00:38:24.287941",45
46,"DIOR","Perfume Hombre Dior Sauvage EDP","Por Falabella",179990,823000,420000,"Sin promocion","(289)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",46
47,"CAROLINA HERRERA","Perfume Hombre 212 Men 100 Ml EDT","Por Falabella",179990,487000,420000,"Sin promocion","(587)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",71
48,"MONTBLANC","Perfume Hombre STARWALKER EXTREME 75 ml EDT","Por Falabella",209900,239900,459900,"Black Days","(0)","-54%","Llega mañana","No","2025-05-21T00:38:24.287941",47
49,"CALVIN KLEIN","Perfume Mujer Ck In2U For Her 100 Ml EDT","Por Falabella",179990,179900,289900,"Black Days","(456)","-38%","Llega mañana","No","2025-05-21T00:38:24.287941",48
50,"LATTAFA","Perfume Yara Candy 100ML + Body Spray Yara 200ML","Por Amber Oud",179100,199000,420000,"Black Days","(0)","-57%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",49
51,"CAROLINA HERRERA","Set de Perfume Mujer Perfume Good Girl EDP 80ml, loción Good Girl 100ml, Perfume Good Girl EDP 10ml","Por Falabella",179990,651000,420000,"Sin promocion","(0)","0%","Desconocido","No","2025-05-21T00:38:24.287941",50
52,"LATTAFA","Perfume Mayar 100ml","Por Amber Oud",170100,189000,320000,"Black Days","(25)","-47%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",51
53,"LACOSTE","Perfume Hombre 125 ml EDT","Por Falabella",259990,279990,449900,"Black Days","(23)","-42%","Llega mañana","No","2025-05-21T00:38:24.287941",52
54,"LATTAFA","Perfume Khamrah 100ml + Body Spray 200ML","Por Amber Oud",200700,223000,460000,"Black Days","(0)","-56%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",53
55,"CHANEL","CHANCE EAU FRAÎCHE EAU DE PARFUM 150 ML","Por Falabella",179990,771000,420000,"Sin promocion","(25)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",54
56,"CAROLINA HERRERA","Set de Perfume Mujer Perfume 212 vip rosé EDP 80ml, loción corporal 100ml, perfume 212 vip rosé EDP 10ml","Por Falabella",179990,577000,420000,"Sin promocion","(0)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",55
57,"ESTEE LAUDER","Perfume Pleasure Mujer 50 ml EDP","Por Falabella",179990,140900,319990,"Black Days","(32)","-56%","Llega mañana","No","2025-05-21T00:38:24.287941",56
58,"CHANEL","COCO MADEMOISELLE Eau de Parfum","Por Falabella",179990,771000,420000,"Sin promocion","(8)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",57
59,"ARMANI","Perfume Mujer Acqua Di Gioa 30 ml EDP","Por Falabella",179990,149990,420000,"Sin promocion","(262)","0%","Llega mañana","No","2025-05-21T00:38:24.287941",58
60,"ARMAF","Perfume Club De Nuit Intense Homme100ML EDT","Por Paris Success Sas",344100,382415,449900,"Black Days","(730)","-24%","Llega mañana","Envío gratis","2025-05-21T00:38:24.287941",59
